	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C3N.02529	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02572	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02573.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02575	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02579.T	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02582	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02585.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02586	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02587	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02588	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02589.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02592.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02675	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02693	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02694	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02695	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02700	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02713	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02714	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02716	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02727	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02729	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02730	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
