	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C3N.00494	Inflammatory	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00495	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00497	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00498	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00511.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00512.T	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00513.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00514.T	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00516.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00517.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00518.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00519	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00546	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00547	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00549	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00550	TGF-Beta	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00551	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00552	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00555	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00556	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00559	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00560	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00572	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00573	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00574	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00577	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00578	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00579	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00580	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00646	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00661	Lymphocyte_Depleted	True	True	True	2_c4	2_c3	0_c2	ImmuneCold
C3N.00662	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.00663	Lymphocyte_Depleted	False	True	True	2_c4	2_c3	0_c2	ImmuneCold
C3N.00665	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00704	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00709.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00729.T	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00733	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00734.T	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00737	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00738	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00743.T	Wound_Healing	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.00822	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00825	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00828	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00829	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00831	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00832	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00834	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00836.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00846	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00847.T	Wound_Healing	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.00848.T	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00850.T	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00852	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00857	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00858.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00866.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00871	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.00880.T	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.00953	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.00957.T	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.00959	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01003.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01011.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01012.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01016	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01017	Wound_Healing	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01020	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01021	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01023	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01024	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01025	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01028	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01030	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01071	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01072	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01074	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01165.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01166.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01167.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01168.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01175	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01176	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01178	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01179	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01180	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01192	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01194	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01196	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01200	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01211.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01212.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01213	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01214	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01217.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01219.T	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01220	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01261	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01267.T	Inflammatory	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01334	Lymphocyte_Depleted	False	True	True	2_c4	2_c3	0_c2	ImmuneCold
C3N.01337	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01338	Wound_Healing	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01339	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01340	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01346.T	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01349.T	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01361	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01364	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01366	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01367	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01368	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01369	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01375.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01380.T	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01381.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01382.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01383.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01388.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01405	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01410	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01411	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01413	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01414	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01415	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01416	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01488	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01489	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01502.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
